ID,Nome cientifico,Nome cientifico na base de dados,Nivel taxonomico,Numero de individuos,Filo,Classe,Ordemm,Familia,Genero,Especie,Estado de conservacao,Categoria de Ameaca,Localidade,Municipio,Status de Sensibilidade,Latitude,Longitude
3868,Americabaetis,Americabaetis,Genero,5,Arthropoda,Insecta,Ephemeroptera,Baetidae,Americabaetis,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional Da Serra Da Bocaina,Angra Dos Reis,Especie Nao Sensivel,"-22,926,192","-44,623,556"
3869,Americabaetis,Americabaetis,Genero,30,Arthropoda,Insecta,Ephemeroptera,Baetidae,Americabaetis,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional Da Serra DosÓrgaos,Sem Informações,Especie Nao Sensivel,"-22,449,997","-43,016,664"
3870,Americabaetis,Americabaetis,Genero,15,Arthropoda,Insecta,Ephemeroptera,Baetidae,Americabaetis,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Estadual Da Ilha Grande,Angra Dos Reis,Especie Nao Sensivel,"-23,182,833","-44,201,306"
3871,Americabaetis,Americabaetis,Genero,20,Arthropoda,Insecta,Ephemeroptera,Baetidae,Americabaetis,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Estadual Da Ilha Grande,Angra Dos Reis,Especie Nao Sensivel,"-23,182,833","-44,201,306"
3872,Americabaetis alphus,Americabaetis alphus,Especie,19,Arthropoda,Insecta,Ephemeroptera,Baetidae,Americabaetis,Americabaetis alphus,Especie Nao Ameaçada,Sem Informações,Parati,Parati,Especie Nao Sensivel,"-23,041,722","-44,693,083"
3873,Baetidae,Baetidae,Familia,13,Arthropoda,Insecta,Ephemeroptera,Baetidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional Da Tijuca,Sem Informações,Especie Nao Sensivel,"-22,956,667","-43,278,056"
3874,Baetidae,Baetidae,Familia,85,Arthropoda,Insecta,Ephemeroptera,Baetidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Area de Proteção Ambiental de Cairuaçu,Sem Informações,Especie Nao Sensivel,"-23,353,606","-44,654,442"
3875,Baetidae,Baetidae,Familia,18,Arthropoda,Insecta,Ephemeroptera,Baetidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional Da Serra Da Bocaina,Sem Informações,Especie Nao Sensivel,-23.35,"-44,733,331"
3876,Baetidae,Baetidae,Familia,1,Arthropoda,Insecta,Ephemeroptera,Baetidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parati,Parati,Especie Nao Sensivel,"-23,024,083","-44,612,222"
3877,Baetidae,Baetidae,Familia,2,Arthropoda,Insecta,Ephemeroptera,Baetidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parati,Parati,Especie Nao Sensivel,"-22,946,278","-44,600,306"
3878,Baetidae,Baetidae,Familia,1,Arthropoda,Insecta,Ephemeroptera,Baetidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parati,Parati,Especie Nao Sensivel,"-23,041,694","-44,693,139"
3879,Baetidae,Baetidae,Familia,6,Arthropoda,Insecta,Ephemeroptera,Baetidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parati,Parati,Especie Nao Sensivel,"-23,041,694","-44,693,139"
3880,Baetidae,Baetidae,Familia,17,Arthropoda,Insecta,Ephemeroptera,Baetidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Area de Proteção Ambiental de Cairuaçu,Sem Informações,Especie Nao Sensivel,"-23,338,056","-44,622,778"
3881,Baetidae,Baetidae,Familia,43,Arthropoda,Insecta,Ephemeroptera,Baetidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Area de Proteção Ambiental de Cairuaçu,Sem Informações,Especie Nao Sensivel,"-23,327,222","-44,644,444"
3882,Baetidae,Baetidae,Familia,87,Arthropoda,Insecta,Ephemeroptera,Baetidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Area de Proteção Ambiental de Cairuaçu,Sem Informações,Especie Nao Sensivel,"-23,328,889","-44,681,944"
3883,Baetidae,Baetidae,Familia,62,Arthropoda,Insecta,Ephemeroptera,Baetidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Area de Proteção Ambiental de Cairuaçu,Sem Informações,Especie Nao Sensivel,"-233,425","-44,605,556"
3884,Baetidae,Baetidae,Familia,13,Arthropoda,Insecta,Ephemeroptera,Baetidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Area de Proteção Ambiental de Cairuaçu,Sem Informações,Especie Nao Sensivel,"-23,345,833","-44,606,667"
3885,Baetidae,Baetidae,Familia,25,Arthropoda,Insecta,Ephemeroptera,Baetidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Area de Proteção Ambiental de Cairuaçu,Sem Informações,Especie Nao Sensivel,"-23,338,333","-44,703,056"
3886,Baetidae,Baetidae,Familia,87,Arthropoda,Insecta,Ephemeroptera,Baetidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Area de Proteção Ambiental de Cairuaçu,Sem Informações,Especie Nao Sensivel,"-23,324,167","-44,628,611"
3887,Baetidae,Baetidae,Familia,2,Arthropoda,Insecta,Ephemeroptera,Baetidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Area de Proteção Ambiental de Cairuaçu,Sem Informações,Especie Nao Sensivel,"-233,325","-44,631,389"
3888,Baetidae,Baetidae,Familia,11,Arthropoda,Insecta,Ephemeroptera,Baetidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Area de Proteção Ambiental de Cairuaçu,Sem Informações,Especie Nao Sensivel,"-23,331,389","-44,663,611"
3889,Baetidae,Baetidae,Familia,29,Arthropoda,Insecta,Ephemeroptera,Baetidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional Da Serra Da Bocaina,Sem Informações,Especie Nao Sensivel,"-23,345,278","-44,722,222"
3890,Baetidae,Baetidae,Familia,15,Arthropoda,Insecta,Ephemeroptera,Baetidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional Da Serra Da Bocaina,Sem Informações,Especie Nao Sensivel,"-23,351,389","-44,727,222"
3891,Baetidae,Baetidae,Familia,11,Arthropoda,Insecta,Ephemeroptera,Baetidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional Da Tijuca,Sem Informações,Especie Nao Sensivel,"-22,948,889","-43,285,833"
3892,Baetidae,Baetidae,Familia,116,Arthropoda,Insecta,Ephemeroptera,Baetidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional De Itatiaia,Sem Informações,Especie Nao Sensivel,"-22,427,286","-44,618,267"
3893,Baetidae,Baetidae,Familia,116,Arthropoda,Insecta,Ephemeroptera,Baetidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional De Itatiaia,Sem Informações,Especie Nao Sensivel,"-22,437,797","-44,605,325"
3894,Baetodes,Baetodes,Genero,12,Arthropoda,Insecta,Ephemeroptera,Baetidae,Baetodes,Sem Informações,Especie Ameaçada,Vulneravel,Parati,Parati,Especie Nao Sensivel,"-23,041,472","-44,696,333"
3895,Baetodes,Baetodes,Genero,7,Arthropoda,Insecta,Ephemeroptera,Baetidae,Baetodes,Sem Informações,Especie Ameaçada,Vulneravel,Parati,Parati,Especie Nao Sensivel,"-23,041,722","-44,693,083"
3896,Baetodes,Baetodes,Genero,85,Arthropoda,Insecta,Ephemeroptera,Baetidae,Baetodes,Sem Informações,Especie Ameaçada,Vulneravel,Parque Nacional Da Tijuca,Sem Informações,Especie Nao Sensivel,"-22,959,056","-43,275,692"
3897,Baetodes,Baetodes,Genero,36,Arthropoda,Insecta,Ephemeroptera,Baetidae,Baetodes,Sem Informações,Especie Ameaçada,Vulneravel,Parque Estadual Da Pedra Branca,Rio De Janeiro,Especie Nao Sensivel,"-22,936,056","-43,441,333"
3898,Baetodes,Baetodes,Genero,1,Arthropoda,Insecta,Ephemeroptera,Baetidae,Baetodes,Sem Informações,Especie Ameaçada,Vulneravel,Parque Estadual Da Pedra Branca,Rio De Janeiro,Especie Nao Sensivel,"-22,933,167","-43,448,056"
3899,Baetodes,Baetodes,Genero,54,Arthropoda,Insecta,Ephemeroptera,Baetidae,Baetodes,Sem Informações,Especie Ameaçada,Vulneravel,Parque Estadual Da Pedra Branca,Rio De Janeiro,Especie Nao Sensivel,"-22,934,889","-434,485"
3900,Baetodes,Baetodes,Genero,47,Arthropoda,Insecta,Ephemeroptera,Baetidae,Baetodes,Sem Informações,Especie Ameaçada,Vulneravel,Parque Nacional Da Serra Da Bocaina,Angra Dos Reis,Especie Nao Sensivel,"-22,926,192","-44,623,556"
3901,Baetodes,Baetodes,Genero,20,Arthropoda,Insecta,Ephemeroptera,Baetidae,Baetodes,Sem Informações,Especie Ameaçada,Vulneravel,Parque Estadual Da Ilha Grande,Angra Dos Reis,Especie Nao Sensivel,"-23,182,833","-44,201,306"
3902,Caenidae,Caenidae,Familia,1,Arthropoda,Insecta,Ephemeroptera,Caenidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Area de Proteção Ambiental de Cairuaçu,Sem Informações,Especie Nao Sensivel,"-23,353,606","-44,654,442"
3903,Camelobaetidius,Camelobaetidius,Genero,2,Arthropoda,Insecta,Ephemeroptera,Baetidae,Camelobaetidius,Sem Informações,Especie Ameaçada,Vulneravel,Parati,Parati,Especie Nao Sensivel,"-23,041,472","-44,696,333"
3904,Campylocia,Campylocia,Genero,1,Arthropoda,Insecta,Ephemeroptera,Euthyplociidae,Campylocia,Sem Informações,Especie Nao Ameaçada,Sem Informações,Area de Proteção Ambiental de Cairuaçu,Sem Informações,Especie Nao Sensivel,"-23,327,222","-44,644,444"
3905,Campylocia,Campylocia,Genero,4,Arthropoda,Insecta,Ephemeroptera,Euthyplociidae,Campylocia,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional Da Serra Da Bocaina,Angra Dos Reis,Especie Nao Sensivel,"-22,926,192","-44,623,556"
3906,Cloeodes,Cloeodes,Genero,12,Arthropoda,Insecta,Ephemeroptera,Baetidae,Cloeodes,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional Restinga De Jurubatiba,Sem Informações,Especie Nao Sensivel,"-22,292,139","-41,688,192"
3907,Cloeodes,Cloeodes,Genero,74,Arthropoda,Insecta,Ephemeroptera,Baetidae,Cloeodes,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Estadual Da Pedra Branca,Rio De Janeiro,Especie Nao Sensivel,"-22,936,056","-43,441,333"
3908,Cloeodes,Cloeodes,Genero,3,Arthropoda,Insecta,Ephemeroptera,Baetidae,Cloeodes,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Estadual Da Pedra Branca,Rio De Janeiro,Especie Nao Sensivel,"-22,933,167","-43,448,056"
3909,Cloeodes,Cloeodes,Genero,62,Arthropoda,Insecta,Ephemeroptera,Baetidae,Cloeodes,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Estadual Da Pedra Branca,Rio De Janeiro,Especie Nao Sensivel,"-22,934,889","-434,485"
3910,Cloeodes,Cloeodes,Genero,60,Arthropoda,Insecta,Ephemeroptera,Baetidae,Cloeodes,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Estadual Da Pedra Branca,Rio De Janeiro,Especie Nao Sensivel,"-22,935,611","-43,439,167"
3911,Cloeodes,Cloeodes,Genero,25,Arthropoda,Insecta,Ephemeroptera,Baetidae,Cloeodes,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Estadual Da Ilha Grande,Angra Dos Reis,Especie Nao Sensivel,"-23,182,833","-44,201,306"
3912,Ephemeroptera,Ephemeroptera,Ordem,1,Arthropoda,Insecta,Ephemeroptera,Sem Informações,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional Da Tijuca,Sem Informações,Especie Nao Sensivel,"-22,956,667","-43,278,056"
3913,Ephemeroptera,Ephemeroptera,Ordem,517,Arthropoda,Insecta,Ephemeroptera,Sem Informações,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Reserva BiolÃ³gica De PoÃ§o Das Antas,Silva Jardim,Especie Nao Sensivel,"-22,538,889","-422,925"
3914,Ephemeroptera,Ephemeroptera,Ordem,38,Arthropoda,Insecta,Ephemeroptera,Sem Informações,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional Da Serra DosÓrgaos,Sem Informações,Especie Nao Sensivel,"-22,454,861","-42,999"
3915,Ephemeroptera,Ephemeroptera,Ordem,2,Arthropoda,Insecta,Ephemeroptera,Sem Informações,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional Da Serra DosÓrgaos,Sem Informações,Especie Nao Sensivel,"-22,450,528","-43,013,722"
3916,Ephemeroptera,Ephemeroptera,Ordem,234,Arthropoda,Insecta,Ephemeroptera,Sem Informações,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Pequenos Riachos,Casimiro De Abreu,Especie Nao Sensivel,"-22,480,556","-42,204,167"
3917,Ephemeroptera,Ephemeroptera,Ordem,3,Arthropoda,Insecta,Ephemeroptera,Sem Informações,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional Da Serra DosÓrgaos,Sem Informações,Especie Nao Sensivel,"-22,498,056","-43,073,331"
3918,Ephemeroptera,Ephemeroptera,Ordem,43,Arthropoda,Insecta,Ephemeroptera,Sem Informações,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional Da Serra DosÓrgaos,Sem Informações,Especie Nao Sensivel,"-22,516,667","-42,983,333"
3919,Ephemeroptera,Ephemeroptera,Ordem,2,Arthropoda,Insecta,Ephemeroptera,Sem Informações,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional Da Serra DosÓrgaos,Sem Informações,Especie Nao Sensivel,"-22,483,333","-42,983,333"
3920,Ephemeroptera,Ephemeroptera,Ordem,29,Arthropoda,Insecta,Ephemeroptera,Sem Informações,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional Da Serra DosÓrgaos,Sem Informações,Especie Nao Sensivel,"-22,433,333","-42,983,333"
3921,Ephemeroptera,Ephemeroptera,Ordem,2,Arthropoda,Insecta,Ephemeroptera,Sem Informações,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional Da Serra DosÓrgaos,Sem Informações,Especie Nao Sensivel,-22.45,-4.3E8
3922,Ephemeroptera,Ephemeroptera,Ordem,5,Arthropoda,Insecta,Ephemeroptera,Sem Informações,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Campo Dos Afonsos,Rio De Janeiro,Especie Nao Sensivel,"-22,876,942","-43,384,717"
3923,Ephemeroptera,Ephemeroptera,Ordem,5,Arthropoda,Insecta,Ephemeroptera,Sem Informações,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional Da Tijuca,Sem Informações,Especie Nao Sensivel,"-22,953,611","-43,281,944"
3924,Ephemeroptera,Ephemeroptera,Ordem,6,Arthropoda,Insecta,Ephemeroptera,Sem Informações,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional Da Tijuca,Sem Informações,Especie Nao Sensivel,"-22,959,722","-43,275,833"
3925,Ephemeroptera,Ephemeroptera,Ordem,5,Arthropoda,Insecta,Ephemeroptera,Sem Informações,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Campo Dos Afonsos,Rio De Janeiro,Especie Nao Sensivel,"-22,876,942","-43,384,719"
3926,Ephemeroptera,Ephemeroptera,Ordem,21,Arthropoda,Insecta,Ephemeroptera,Sem Informações,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional Da Serra DosÓrgaos,Sem Informações,Especie Nao Sensivel,"-22,516,667","-42,983,333"
3927,Ephemeroptera,Ephemeroptera,Ordem,1,Arthropoda,Insecta,Ephemeroptera,Sem Informações,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional Da Serra DosÓrgaos,Sem Informações,Especie Nao Sensivel,"-22,483,333","-42,983,333"
3928,Ephemeroptera,Ephemeroptera,Ordem,16,Arthropoda,Insecta,Ephemeroptera,Sem Informações,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional Da Serra DosÓrgaos,Sem Informações,Especie Nao Sensivel,"-22,433,333","-42,983,333"
3929,Ephemeroptera,Ephemeroptera,Ordem,4,Arthropoda,Insecta,Ephemeroptera,Sem Informações,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional Da Serra DosÓrgaos,Sem Informações,Especie Nao Sensivel,-22.45,-4.3E8
3930,Euthyplociidae,Euthyplociidae,Familia,116,Arthropoda,Insecta,Ephemeroptera,Euthyplociidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional De Itatiaia,Sem Informações,Especie Nao Sensivel,"-22,427,286","-44,618,267"
3931,Euthyplociidae,Euthyplociidae,Familia,116,Arthropoda,Insecta,Ephemeroptera,Euthyplociidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional De Itatiaia,Sem Informações,Especie Nao Sensivel,"-22,437,797","-44,605,325"
3932,Farrodes,Farrodes,Genero,29,Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,Farrodes,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Estadual Da Pedra Branca,Rio De Janeiro,Especie Nao Sensivel,"-22,933,167","-43,448,056"
3933,Leptohyphes,Leptohyphes,Genero,22,Arthropoda,Insecta,Ephemeroptera,Leptohyphidae,Leptohyphes,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Estadual Da Pedra Branca,Rio De Janeiro,Especie Nao Sensivel,"-22,936,056","-43,441,333"
3934,Leptohyphes,Leptohyphes,Genero,3,Arthropoda,Insecta,Ephemeroptera,Leptohyphidae,Leptohyphes,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Estadual Da Pedra Branca,Rio De Janeiro,Especie Nao Sensivel,"-22,933,167","-43,448,056"
3935,Leptohyphes,Leptohyphes,Genero,13,Arthropoda,Insecta,Ephemeroptera,Leptohyphidae,Leptohyphes,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Estadual Da Pedra Branca,Rio De Janeiro,Especie Nao Sensivel,"-22,934,889","-434,485"
3936,Leptohyphes,Leptohyphes,Genero,4,Arthropoda,Insecta,Ephemeroptera,Leptohyphidae,Leptohyphes,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Estadual Da Pedra Branca,Rio De Janeiro,Especie Nao Sensivel,"-22,935,611","-43,439,167"
3937,Leptohyphes,Leptohyphes,Genero,43,Arthropoda,Insecta,Ephemeroptera,Leptohyphidae,Leptohyphes,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional Da Serra Da Bocaina,Angra Dos Reis,Especie Nao Sensivel,"-22,926,192","-44,623,556"
3938,Leptohyphidae,Leptohyphidae,Familia,8,Arthropoda,Insecta,Ephemeroptera,Leptohyphidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Area de Proteção Ambiental de Cairuaçu,Sem Informações,Especie Nao Sensivel,"-23,353,606","-44,654,442"
3939,Leptohyphidae,Leptohyphidae,Familia,2,Arthropoda,Insecta,Ephemeroptera,Leptohyphidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Area de Proteção Ambiental de Cairuaçu,Sem Informações,Especie Nao Sensivel,"-23,328,889","-44,681,944"
3940,Leptohyphidae,Leptohyphidae,Familia,1,Arthropoda,Insecta,Ephemeroptera,Leptohyphidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Area de Proteção Ambiental de Cairuaçu,Sem Informações,Especie Nao Sensivel,"-233,425","-44,605,556"
3941,Leptohyphidae,Leptohyphidae,Familia,2,Arthropoda,Insecta,Ephemeroptera,Leptohyphidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Area de Proteção Ambiental de Cairuaçu,Sem Informações,Especie Nao Sensivel,"-23,331,389","-44,663,611"
3942,Leptohyphidae,Leptohyphidae,Familia,3,Arthropoda,Insecta,Ephemeroptera,Leptohyphidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional Restinga De Jurubatiba,Sem Informações,Especie Nao Sensivel,"-22,292,139","-41,688,192"
3943,Leptohyphidae,Leptohyphidae,Familia,116,Arthropoda,Insecta,Ephemeroptera,Leptohyphidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional De Itatiaia,Sem Informações,Especie Nao Sensivel,"-22,427,286","-44,618,267"
3944,Leptohyphidae,Leptohyphidae,Familia,116,Arthropoda,Insecta,Ephemeroptera,Leptohyphidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional De Itatiaia,Sem Informações,Especie Nao Sensivel,"-22,437,797","-44,605,325"
3945,Leptophlebiidae,Leptophlebiidae,Familia,8,Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional Da Tijuca,Sem Informações,Especie Nao Sensivel,"-22,956,667","-43,278,056"
3946,Leptophlebiidae,Leptophlebiidae,Familia,3,Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional Da Serra Da Bocaina,Sem Informações,Especie Nao Sensivel,-23.35,"-44,733,331"
3947,Leptophlebiidae,Leptophlebiidae,Familia,54,Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Area de Proteção Ambiental de Cairuaçu,Sem Informações,Especie Nao Sensivel,"-23,353,606","-44,654,442"
3948,Leptophlebiidae,Leptophlebiidae,Familia,14,Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Area de Proteção Ambiental de Cairuaçu,Sem Informações,Especie Nao Sensivel,"-23,338,056","-44,622,778"
3949,Leptophlebiidae,Leptophlebiidae,Familia,6,Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Area de Proteção Ambiental de Cairuaçu,Sem Informações,Especie Nao Sensivel,"-23,327,222","-44,644,444"
3950,Leptophlebiidae,Leptophlebiidae,Familia,51,Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Area de Proteção Ambiental de Cairuaçu,Sem Informações,Especie Nao Sensivel,"-23,328,889","-44,681,944"
3951,Leptophlebiidae,Leptophlebiidae,Familia,2,Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Area de Proteção Ambiental de Cairuaçu,Sem Informações,Especie Nao Sensivel,"-233,425","-44,605,556"
3952,Leptophlebiidae,Leptophlebiidae,Familia,4,Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Area de Proteção Ambiental de Cairuaçu,Sem Informações,Especie Nao Sensivel,"-23,338,333","-44,703,056"
3953,Leptophlebiidae,Leptophlebiidae,Familia,2,Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Area de Proteção Ambiental de Cairuaçu,Sem Informações,Especie Nao Sensivel,"-23,331,389","-44,663,611"
3954,Leptophlebiidae,Leptophlebiidae,Familia,7,Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional Da Serra Da Bocaina,Sem Informações,Especie Nao Sensivel,"-23,345,278","-44,722,222"
3955,Leptophlebiidae,Leptophlebiidae,Familia,4,Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional Da Serra Da Bocaina,Sem Informações,Especie Nao Sensivel,"-23,351,389","-44,727,222"
3956,Leptophlebiidae,Leptophlebiidae,Familia,15,Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional Da Tijuca,Sem Informações,Especie Nao Sensivel,"-22,948,889","-43,285,833"
3957,Leptophlebiidae,Leptophlebiidae,Familia,116,Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional De Itatiaia,Sem Informações,Especie Nao Sensivel,"-22,427,286","-44,618,267"
3958,Leptophlebiidae,Leptophlebiidae,Familia,116,Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional De Itatiaia,Sem Informações,Especie Nao Sensivel,"-22,437,797","-44,605,325"
3959,Thraulodes,Thraulodes,Genero,4,Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,Thraulodes,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parati,Parati,Especie Nao Sensivel,"-23,041,722","-44,693,083"
3960,Thraulodes,Thraulodes,Genero,4,Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,Thraulodes,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Estadual Da Pedra Branca,Rio De Janeiro,Especie Nao Sensivel,"-22,934,889","-434,485"
3961,Tricorythodes,Tricorythodes,Genero,3,Arthropoda,Insecta,Ephemeroptera,Leptohyphidae,Tricorythodes,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parati,Parati,Especie Nao Sensivel,"-23,041,778","-44,695,889"
3962,Tricorythodes,Tricorythodes,Genero,6,Arthropoda,Insecta,Ephemeroptera,Leptohyphidae,Tricorythodes,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Estadual Da Pedra Branca,Rio De Janeiro,Especie Nao Sensivel,"-22,935,611","-43,439,167"
3963,Tricorythodes,Tricorythodes,Genero,16,Arthropoda,Insecta,Ephemeroptera,Leptohyphidae,Tricorythodes,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional Da Serra Da Bocaina,Angra Dos Reis,Especie Nao Sensivel,"-22,926,192","-44,623,556"
3964,Tricorythopsis,Tricorythopsis,Genero,7,Arthropoda,Insecta,Ephemeroptera,Leptohyphidae,Tricorythopsis,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional Da Serra Da Bocaina,Angra Dos Reis,Especie Nao Sensivel,"-22,926,192","-44,623,556"